codMicroRes,media,variancia,especie
12001,662.8240740740839,480069.4706822606,P. falciparum
12002,19.300925925926194,647.7149376077734,P. falciparum
12003,0.5925925925925594,2.276368636497814,P. falciparum
12004,64.15740740740841,4915.767728274844,P. falciparum
12005,3.0092592592594483,34.99872707936424,P. falciparum
13001,212.93055555555694,67983.34334567792,P. falciparum
13002,10.500000000000426,263.4472907432975,P. falciparum
13003,147.9259259259277,25233.92216425432,P. falciparum
13004,125.00462962963083,19074.85028323421,P. falciparum
13005,103.41666666666652,10449.495810765677,P. falciparum
13006,88.4166666666672,13083.093897783256,P. falciparum
13007,548.5972222222323,304003.4186303114,P. falciparum
13008,66.61111111111121,15769.013508614253,P. falciparum
13009,44.72222222222302,4563.180866205198,P. falciparum
13010,27.759259259258936,1031.193304396541,P. falciparum
13011,34.9861111111113,891.4919542816993,P. falciparum
13012,71.26388888888903,3311.454056793575,P. falciparum
13013,108.48611111111151,6864.006306925343,P. falciparum
14001,127.9259259259278,22272.857186339217,P. falciparum
14002,31.736111111110866,814.6668957114483,P. falciparum
14003,33.12037037037048,954.9646216920959,P. falciparum
14004,35.14814814814858,946.3750773275234,P. falciparum
15001,16.870370370370264,1790.7391353836833,P. falciparum
15002,31.638888888887884,445.7126539227761,P. falciparum
15003,7.675925925926112,51.4536356005524,P. falciparum
15004,14.958333333333295,433.11778789066034,P. falciparum
15005,263.68518518518584,68534.43934949815,P. falciparum
15006,21.888888888889298,1372.5725496407106,P. falciparum
15007,9.092592592592077,32.52797330254716,P. falciparum
15008,1.2638888888889246,4.0771051367198385,P. falciparum
15009,0.7638888888888953,5.666867387985424,P. falciparum
15010,3.7407407407409154,35.93533096859262,P. falciparum
15011,12.99074074074054,733.4654336377267,P. falciparum
15012,21.032407407407433,503.5599821779967,P. falciparum
15013,59.89351851851889,5565.871262430439,P. falciparum
15014,388.0000000000018,78536.69268179269,P. falciparum
15015,101.56944444444407,3885.0894185591014,P. falciparum
15016,162.64814814814795,16177.325000566554,P. falciparum
15017,54.03240740740717,3054.7446752847686,P. falciparum
15018,4.731481481481445,47.43518772347177,P. falciparum
15019,12.629629629629475,522.1470624801608,P. falciparum
15020,22.569444444445004,615.592555977646,P. falciparum
15021,3.38888888888864,52.71209561168996,P. falciparum
15022,20.254629629629594,2215.62961394499,P. falciparum
16001,106.95833333333476,4668.081599486095,P. falciparum
16002,12.189814814814852,267.0123667578493,P. falciparum
16003,155.40277777777663,10233.162989385817,P. falciparum
