especie,modelo,codMicroRes,nomeMicroRes,siglaUF,ano,mes,idMes,populacao,real_taxa,pred_taxa,residual,ci_low,ci_high,covered,test_start
P. vivax,paper_replica_corrigido,15013,Guamá,PA,2020,3,207,488143,0.20485800267544552,26.16640294968947,-25.961544947014023,3.9285668996762126,284.69014799653576,FALSE,205
P. vivax,paper_replica_corrigido,15014,Itaituba,PA,2020,1,205,221823,287.6167034076719,480.00403825763516,-192.38733484996328,109.50576573834172,4565.814085153371,TRUE,205
P. vivax,paper_replica_corrigido,15014,Itaituba,PA,2020,2,206,221823,256.9616315711175,434.41521787633786,-177.45358630522037,97.69066996131012,4374.467168179019,TRUE,205
P. vivax,paper_replica_corrigido,15014,Itaituba,PA,2020,3,207,221823,252.45353277162425,435.00842150943544,-182.55488873781118,119.37569330817911,4770.921266111973,TRUE,205
P. vivax,paper_replica_corrigido,15015,Altamira,PA,2020,1,205,312142,36.84220643168815,171.4421434804703,-134.59993704878215,51.09498847865257,1761.0363914831773,FALSE,205
P. vivax,paper_replica_corrigido,15015,Altamira,PA,2020,2,206,312142,30.11449917024944,155.15933694010988,-125.04483776986044,39.882761547966275,1525.118849489558,FALSE,205
P. vivax,paper_replica_corrigido,15015,Altamira,PA,2020,3,207,312142,39.40514253128384,155.3712601807595,-115.96611764947565,36.65732640352228,1369.5811991908158,TRUE,205
P. vivax,paper_replica_corrigido,15016,Tucuruí,PA,2020,1,205,389741,3.8487097841900137,140.65313180161877,-136.80442201742875,35.22224565333829,1147.2857198840568,FALSE,205
P. vivax,paper_replica_corrigido,15016,Tucuruí,PA,2020,2,206,389741,1.7960645659553398,127.29453571562402,-125.49847114966869,25.38133883517626,1087.5022109637232,FALSE,205
P. vivax,paper_replica_corrigido,15016,Tucuruí,PA,2020,3,207,389741,3.8487097841900137,127.46841431605995,-123.61970453186993,32.721015170388775,1369.1571648551992,FALSE,205
P. vivax,paper_replica_corrigido,15017,Paragominas,PA,2020,1,205,354221,0.28230963155769984,48.385160255728856,-48.102850624171154,5.413858670458966,434.41704281541115,FALSE,205
P. vivax,paper_replica_corrigido,15017,Paragominas,PA,2020,2,206,354221,0,43.789821092423026,-43.789821092423026,8.075672516767959,378.2031436204792,FALSE,205
P. vivax,paper_replica_corrigido,15017,Paragominas,PA,2020,3,207,354221,0.5646192631153997,43.849698538104924,-43.28507927498953,6.271052959948306,362.90899287643254,FALSE,205
P. vivax,paper_replica_corrigido,15018,São Félix do Xingu,PA,2020,1,205,222632,8.534262819361098,26.244319026115935,-17.710056206754835,0,299.1851926433464,TRUE,205
P. vivax,paper_replica_corrigido,15018,São Félix do Xingu,PA,2020,2,206,222632,3.1442020913435624,23.751811111375442,-20.60760902003188,0,287.2694676004496,TRUE,205
P. vivax,paper_replica_corrigido,15018,São Félix do Xingu,PA,2020,3,207,222632,2.2458586366739732,23.784316298481748,-21.538457661807776,0,239.9654748096708,TRUE,205
P. vivax,paper_replica_corrigido,15019,Parauapebas,PA,2020,1,205,331080,2.7183762232693005,1.5674900195787016,1.150886203690599,0,19.791289114413427,TRUE,205
P. vivax,paper_replica_corrigido,15019,Parauapebas,PA,2020,2,206,331080,1.2081672103419112,1.4186219594420428,-0.21045474910013162,0,15.419234021988627,TRUE,205
P. vivax,paper_replica_corrigido,15019,Parauapebas,PA,2020,3,207,331080,0.6040836051709556,1.42056464223971,-0.8164810370687544,0,14.528210704361456,TRUE,205
P. vivax,paper_replica_corrigido,15020,Marabá,PA,2020,1,205,338296,1.182396481188072,22.539660932249355,-21.357264451061283,0.8975459905443846,216.87545487311831,TRUE,205
P. vivax,paper_replica_corrigido,15020,Marabá,PA,2020,2,206,338296,0,20.398993309265702,-20.398993309265702,0,281.02637356571154,TRUE,205
P. vivax,paper_replica_corrigido,15020,Marabá,PA,2020,3,207,338296,0.8867973608910541,20.42690317004606,-19.540105809155005,0,330.95827419757546,TRUE,205
P. vivax,paper_replica_corrigido,15021,Redenção,PA,2020,1,205,197953,0,1.4050481252488276,-1.4050481252488276,0,18.95651998201592,TRUE,205
P. vivax,paper_replica_corrigido,15021,Redenção,PA,2020,2,206,197953,0.505170419240931,1.2716098014604529,-0.7664393822195219,0,13.904815789606612,TRUE,205
P. vivax,paper_replica_corrigido,15021,Redenção,PA,2020,3,207,197953,0.505170419240931,1.2733539841206911,-0.7681835648797601,0,18.45134956277499,TRUE,205
P. vivax,paper_replica_corrigido,15022,Conceição do Araguaia,PA,2020,1,205,164785,0,1.7230785553364605,-1.7230785553364605,0,18.81239190460297,TRUE,205
P. vivax,paper_replica_corrigido,15022,Conceição do Araguaia,PA,2020,2,206,164785,0.606851351761386,1.5594415323597153,-0.9525901805983292,0,16.99183784931881,TRUE,205
P. vivax,paper_replica_corrigido,15022,Conceição do Araguaia,PA,2020,3,207,164785,0,1.5615844367145584,-1.5615844367145584,0,18.524137512516297,TRUE,205
P. vivax,paper_replica_corrigido,16001,Oiapoque,AP,2020,1,205,39212,234.62205447312047,1624.7210831773195,-1390.099028704199,423.8520795914922,17940.354368862903,FALSE,205
P. vivax,paper_replica_corrigido,16001,Oiapoque,AP,2020,2,206,39212,119.86126695909414,1470.4119879522814,-1350.5507209931873,293.4360551018023,12805.223404581422,FALSE,205
P. vivax,paper_replica_corrigido,16001,Oiapoque,AP,2020,3,207,39212,142.81342446189942,1472.4201316494489,-1329.6067071875495,407.550076530281,14715.410613278855,FALSE,205
P. vivax,paper_replica_corrigido,16002,Amapá,AP,2020,1,205,32202,65.21334078628657,259.07513076794567,-193.86178998165911,59.552277253234124,2515.5874449720277,TRUE,205
P. vivax,paper_replica_corrigido,16002,Amapá,AP,2020,2,206,32202,15.526985901496802,234.46962213844577,-218.94263623694897,0,2760.2480506874012,TRUE,205
P. vivax,paper_replica_corrigido,16002,Amapá,AP,2020,3,207,32202,6.210794360598721,234.7901555494188,-228.5793611888201,19.850759084411376,2294.2514811808433,FALSE,205
P. vivax,paper_replica_corrigido,16003,Macapá,AP,2020,1,205,700690,64.79327520015984,185.81839020519743,-121.02511500503759,55.991944497884525,2152.2801704180674,TRUE,205
P. vivax,paper_replica_corrigido,16003,Macapá,AP,2020,2,206,700690,39.53246086000942,168.17011968230008,-128.63765882229066,42.78651237394354,1726.6045483779424,FALSE,205
P. vivax,paper_replica_corrigido,16003,Macapá,AP,2020,3,207,700690,32.53935406527851,168.39975596773422,-135.86040190245572,46.86902075077503,2221.500354349262,FALSE,205
